num_training_steps,avg_reward,algorithm
1304000.0,-1.5748163486815543,A2C
1337000.0,-1.5748163486815543,A2C
40500.0,-0.9989066629657136,A2C
1370000.0,-1.608701414652268,A2C
413000.0,-2.566776683313096,A2C
1238000.0,-1.5748163486815543,A2C
1386500.0,-1.4101296448168985,A2C
693500.0,-2.566776683313096,A2C
297500.0,-2.566776683313096,A2C
512000.0,-2.566776687071308,A2C
957500.0,-1.4656484971399124,A2C
83000.0,-2.566776683313096,A2C
495500.0,-2.566776683313096,A2C
182000.0,-2.5655942180762485,A2C
1007000.0,-1.5326491542336804,A2C
1686500.0,-2.0566485067615883,A2C
17000.0,-2.5425635985942527,A2C
198500.0,-2.5689135291962604,A2C
231500.0,-2.559476063271445,A2C
396500.0,-2.566776683313096,A2C
990500.0,-1.4558661171871108,A2C
726500.0,-2.566776683313096,A2C
380000.0,-2.566776683313096,A2C
314000.0,-2.566776683313096,A2C
363500.0,-2.566776683313096,A2C
561500.0,-2.566776727332085,A2C
15500.0,-0.7384265713393215,A2C
611000.0,-2.566776683313096,A2C
50000.0,-2.5689130863905483,A2C
545000.0,-2.5688713881226755,A2C
1320500.0,-1.5748163486815543,A2C
132500.0,-2.566776683313096,A2C
281000.0,-2.566776683313096,A2C
66500.0,-2.566776683313096,A2C
446000.0,-2.566776683313096,A2C
33500.0,-2.559776780872675,A2C
792500.0,-2.566776683313096,A2C
809000.0,-2.569578215446814,A2C
677000.0,-2.566776683313096,A2C
10500.0,-1.2408582024599,A2C
1172000.0,-1.5748163486815543,A2C
594500.0,-2.566776683313096,A2C
1486500.0,-1.8899902249171523,A2C
1986500.0,-2.0566485067615883,A2C
149000.0,-2.568048889288548,A2C
1271000.0,-1.5748163486815543,A2C
500.0,-2.570055505726172,A2C
660500.0,-2.566776683313096,A2C
1089500.0,-1.594003528282072,A2C
116000.0,-2.566776683313096,A2C
858500.0,-2.5688697863172147,A2C
710000.0,-2.566776683313096,A2C
45500.0,-0.2063978976687965,A2C
429500.0,-2.566776683313096,A2C
974000.0,-1.4656484971399124,A2C
347000.0,-2.566776683313096,A2C
743000.0,-2.566776683313096,A2C
1073000.0,-1.594003528282072,A2C
891500.0,-2.568925915403931,A2C
1122500.0,-1.594003528282072,A2C
1205000.0,-1.5748163486815543,A2C
1188500.0,-1.5748163486815543,A2C
875000.0,-2.5688372755645923,A2C
1786500.0,-2.0566485067615883,A2C
842000.0,-2.5451743291033018,A2C
1221500.0,-1.5748163486815543,A2C
908000.0,-2.048078784418073,A2C
627500.0,-2.566776683313096,A2C
1139000.0,-1.594003528282072,A2C
30500.0,-1.0376840406509118,A2C
1353500.0,-1.5748163486815543,A2C
924500.0,-1.8992110899925765,A2C
941000.0,-1.5642403720495863,A2C
759500.0,-2.566776683313096,A2C
528500.0,-2.5176080054138303,A2C
1023500.0,-1.594003528282072,A2C
1586500.0,-2.0566485067615883,A2C
462500.0,-2.566776683313096,A2C
248000.0,-2.5617820571788616,A2C
1886500.0,-2.0566485067615883,A2C
99500.0,-2.566776683313096,A2C
578000.0,-2.566776683313096,A2C
330500.0,-2.566776683313096,A2C
1254500.0,-1.5748163486815543,A2C
60500.0,-1.433514466753356,A2C
776000.0,-2.566776683313096,A2C
825500.0,-2.5720703543669083,A2C
1056500.0,-1.594003528282072,A2C
1106000.0,-1.594003528282072,A2C
644000.0,-2.566776683313096,A2C
